Price,Type,Màn hình,Hệ điều hành,Camera sau,Camera trước,CPU,RAM,Bộ nhớ trong,Sim,Pin
36.000.000₫,Samsung,"Chính: Dynamic AMOLED, Phụ: Super AMOLED, 6.7"", Quad HD (2K)",Android 10,2 camera 12 MP,10 MP,Snapdragon 855+ 8 nhân,8 GB,256 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 4G","3300 mAh, có sạc nhanh"
33.990.000₫,iPhone (Apple),"OLED, 6.1"", Super Retina XDR",iOS 14,3 camera 12 MP,12 MP,Apple A14 Bionic 6 nhân,6 GB,256 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","2815 mAh, có sạc nhanh"
32.990.000₫,iPhone (Apple),"OLED, 6.7"", Super Retina XDR",iOS 14,3 camera 12 MP,12 MP,Apple A14 Bionic 6 nhân,6 GB,128 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","3687 mAh, có sạc nhanh"
26.990.000₫,Samsung,"Dynamic AMOLED 2X, 6.9"", Quad HD+ (2K+)",Android 10,"Chính 108 MP & Phụ 12 MP, 12 MP, cảm biến Laser AF",10 MP,Exynos 990 8 nhân,12 GB,256 GB,"2 Nano SIM hoặc 1 Nano SIM + 1 eSIM, Hỗ trợ 5G","4500 mAh, có sạc nhanh"
26.990.000₫,Samsung,"Dynamic AMOLED 2X, 6.9"", Quad HD+ (2K+)",Android 10,"Chính 108 MP & Phụ 12 MP, 12 MP, cảm biến Laser AF",10 MP,Exynos 990 8 nhân,12 GB,256 GB,"2 Nano SIM hoặc 1 Nano SIM + 1 eSIM, Hỗ trợ 5G","4500 mAh, có sạc nhanh"
30.990.000₫,iPhone (Apple),"OLED, 6.1"", Super Retina XDR",iOS 14,3 camera 12 MP,12 MP,Apple A14 Bionic 6 nhân,6 GB,128 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","2815 mAh, có sạc nhanh"
23.990.000₫,Samsung,"Dynamic AMOLED 2X, 6.9"", Quad HD+ (2K+)",Android 10,"Chính 108 MP & Phụ 12 MP, 12 MP, cảm biến Laser AF",10 MP,Exynos 990 8 nhân,8 GB,256 GB,"2 Nano SIM hoặc 1 Nano SIM + 1 eSIM, Hỗ trợ 4G","4500 mAh, có sạc nhanh"
27.490.000₫,iPhone (Apple),"OLED, 6.1"", Super Retina XDR",iOS 14,2 camera 12 MP,12 MP,Apple A14 Bionic 6 nhân,4 GB,256 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","2815 mAh, có sạc nhanh"
25.690.000₫,iPhone (Apple),"OLED, 6.1"", Super Retina XDR",iOS 14,2 camera 12 MP,12 MP,Apple A14 Bionic 6 nhân,4 GB,128 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","2815 mAh, có sạc nhanh"
23.490.000₫,iPhone (Apple),"OLED, 5.4"", Super Retina XDR",iOS 14,2 camera 12 MP,12 MP,Apple A14 Bionic 6 nhân,4 GB,256 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","2227 mAh, có sạc nhanh"
19.990.000₫,Samsung,"Dynamic AMOLED 2X, 6.7"", Quad HD+ (2K+)",Android 10,"Chính 12 MP & Phụ 64 MP, 12 MP, TOF 3D",10 MP,Exynos 990 8 nhân,8 GB,128 GB,"2 Nano SIM hoặc 1 Nano SIM + 1 eSIM, Hỗ trợ 4G","4500 mAh, có sạc nhanh"
20.390.000₫,iPhone (Apple),"OLED, 5.4"", Super Retina XDR",iOS 14,2 camera 12 MP,12 MP,Apple A14 Bionic 6 nhân,4 GB,128 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 5G","2227 mAh, có sạc nhanh"
21.990.000₫,OnePlus,"AMOLED, 6.78"", Quad HD+ (2K+)",Android 10,"Chính 48 MP & Phụ 48 MP, 8 MP, 5 MP",16 MP,Snapdragon 865 8 nhân,12 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","4510 mAh, có sạc nhanh"
19.990.000₫,OPPO,"AMOLED, 6.78"", Quad HD+ (2K+)",Android 10,"Chính 48 MP & Phụ 13 MP, 12 MP",32 MP,Snapdragon 865 8 nhân,12 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","4200 mAh, có sạc nhanh"
21.990.000₫,OnePlus,"AMOLED, 6.78"", Quad HD+ (2K+)",Android 10,"Chính 48 MP & Phụ 48 MP, 8 MP, 5 MP",16 MP,Snapdragon 865 8 nhân,12 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","4510 mAh, có sạc nhanh"
21.990.000₫,iPhone (Apple),"IPS LCD, 6.1"", Liquid Retina",iOS 14,2 camera 12 MP,12 MP,Apple A13 Bionic 6 nhân,4 GB,256 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 4G","3110 mAh, có sạc nhanh"
19.490.000₫,iPhone (Apple),"IPS LCD, 6.1"", Liquid Retina",iOS 14,2 camera 12 MP,12 MP,Apple A13 Bionic 6 nhân,4 GB,128 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 4G","3110 mAh, có sạc nhanh"
17.490.000₫,Samsung,"Dynamic AMOLED 2X, 6.2"", Quad HD+ (2K+)",Android 10,"Chính 12 MP & Phụ 64 MP, 12 MP",10 MP,Exynos 990 8 nhân,8 GB,128 GB,"2 Nano SIM hoặc 1 Nano SIM + 1 eSIM, Hỗ trợ 4G","4000 mAh, có sạc nhanh"
17.990.000₫,Vivo,"AMOLED, 6.56"", Full HD+",Android 10,"Chính 48 MP & Phụ 13 MP, 8 MP, 8 MP",32 MP,Snapdragon 765G 8 nhân,8 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","4315 mAh, có sạc nhanh"
17.690.000₫,iPhone (Apple),"IPS LCD, 6.1"", Liquid Retina",iOS 14,2 camera 12 MP,12 MP,Apple A13 Bionic 6 nhân,4 GB,64 GB,"1 Nano SIM & 1 eSIM, Hỗ trợ 4G","3110 mAh, có sạc nhanh"
17.490.000₫,OnePlus,"AMOLED, 6.55"", Full HD+",Android 11,"Chính 48 MP & Phụ 16 MP, 5 MP, 2 MP",16 MP,Snapdragon 865 8 nhân,12 GB,256 GB,"2 Nano SIM, Hỗ trợ 5G","4500 mAh, có sạc nhanh"
16.490.000₫,Samsung,"Dynamic AMOLED, 6.8"", Quad HD+ (2K+)",Android 9 (Pie),"Chính 12 MP & Phụ 12 MP, 16 MP, TOF 3D",10 MP,Exynos 9825 8 nhân,12 GB,256 GB,"2 Nano SIM (SIM 2 chung khe thẻ nhớ), Hỗ trợ 4G","4300 mAh, có sạc nhanh"
